,TV,radio,newspaper,actual sales,predicted sales
145,96.2,14.8,38.9,11.4,10.245481623046178
183,56.2,5.7,29.7,8.7,6.734980313070679
165,117.2,14.7,5.4,11.9,11.039021032939683
159,11.7,36.9,45.2,7.3,10.885012702958193
116,75.1,35.0,52.7,12.6,13.275749850194442
146,140.3,1.9,9.0,10.3,9.57337540679952
17,67.8,36.6,114.0,12.5,13.44112769601261
40,228.0,37.7,32.0,21.5,20.33985020936435
190,18.7,12.1,23.4,6.7,6.335017719713383
148,243.2,49.0,44.3,25.4,23.213485643059727
120,19.4,16.0,22.3,6.6,7.1156172289316295
195,149.7,35.6,6.0,17.3,16.481411168753926
65,131.1,42.8,28.9,18.0,17.13351658294242
18,281.4,39.6,55.8,24.4,23.078621835480398
143,220.5,33.2,37.9,20.1,19.163213869382105
6,8.7,48.9,75.0,7.2,13.157159834986903
73,26.8,33.0,19.3,8.8,10.710973302482206
70,216.8,43.9,27.2,22.3,21.0407550391133
53,216.4,41.7,39.6,22.6,20.633130341283476
170,284.3,10.6,6.4,15.0,17.46305487509192
166,234.5,3.4,84.8,11.9,14.141503755542551
162,85.7,35.8,49.3,13.3,13.878377389205312
150,44.7,25.8,20.6,10.1,10.096312445194918
186,205.0,45.1,19.6,22.6,20.741959244265843
153,197.6,23.3,14.2,16.6,16.195784738811405
90,109.8,47.8,51.4,16.7,17.242923265299574
194,166.8,42.0,3.6,19.6,18.449313020893236
45,25.1,25.7,43.3,8.5,9.294372798541263
42,177.0,33.4,38.7,17.1,17.32629148860532
118,76.4,0.8,14.8,9.4,6.618657731645163
102,296.4,36.3,100.9,23.8,23.21469468146352
131,0.7,39.6,8.7,1.6,10.829739552648292
54,182.6,46.2,58.7,21.2,20.09683653818228
193,17.2,4.1,31.6,5.9,4.747638773658932
184,287.6,43.0,71.8,26.2,24.047857698405167
76,16.9,43.7,89.4,8.7,12.546787078089885
161,172.5,18.1,30.7,14.4,14.153796737917581
66,69.0,9.3,0.9,9.3,7.902503738910727
125,229.5,32.3,74.2,19.7,19.479341958433125
34,265.6,20.0,0.3,17.4,18.454788328106275
